ParentPath,FileName,FileSize
.,$Recycle.Bin,
.,inetpub,
.,PerfLogs,
.,Program Files,
.,Program Files (x86),
.,ProgramData,
.,Users,
.,Windows,
.,bootmgr,384322
.,BOOTNXT,1
.\inetpub,custerr,
.\inetpub,history,
.\inetpub,logs,
.\inetpub,temp,
.\inetpub,wwwroot,
.\inetpub\custerr,en-US,
.\Program Files\Common Files\System\Ole DB,msdaps.dll,380416
.\Program Files\Common Files\System\Ole DB,msdasql.dll,704512
.\Program Files\Common Files\System\Ole DB,msdasqlr.dll,54784
.\Program Files\Common Files\System\Ole DB,msdatl3.dll,117760
.\Program Files\Common Files\System\Ole DB,msxactps.dll,15872
.\Program Files\Common Files\System\Ole DB,oledb32.dll,936448
.\Program Files\Common Files\System\Ole DB,oledb32r.dll,77824
.\Program Files\Common Files\System\Ole DB,oledbjvs.inc,9804
.\Program Files\Common Files\System\Ole DB,oledbvbs.inc,9975
.\Program Files\Common Files\System\Ole DB,sqloledb.dll,855040
.\Program Files\Common Files\System\Ole DB,sqloledb.rll,4608
.\Program Files\Common Files\System\Ole DB,sqlxmlx.dll,329216
.\Program Files\Common Files\System\Ole DB,sqlxmlx.rll,2560
.\Program Files\Common Files\System\Ole DB\en-US,msdasqlr.dll.mui,6144
.\Program Files\Common Files\System\Ole DB\en-US,oledb32r.dll.mui,48128
.\Program Files\Common Files\System\Ole DB\en-US,sqloledb.rll.mui,44032
.\Program Files\Common Files\System\Ole DB\en-US,sqlxmlx.rll.mui,18432
.\Program Files\Internet Explorer,en-US,
.\Program Files\Internet Explorer,images,
.\Program Files\Internet Explorer,SIGNUP,
.\Program Files\Internet Explorer,hmmapi.dll,53760
.\Program Files\Internet Explorer,iediagcmd.exe,512000
.\Program Files\Internet Explorer,ieinstal.exe,495616
.\Program Files\Internet Explorer,ielowutil.exe,223232
.\Program Files\Internet Explorer,IEShims.dll,417280
.\Program Files\Internet Explorer,iexplore.exe,825024
