ParentPath,FileName,FileSize
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,cy.pak.DATA,491384
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,da.pak.DATA,441393
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,de.pak.DATA,493356
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,el.pak.DATA,854447
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,en-GB.pak.DATA,401426
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,en-US.pak.DATA,394948
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,es-419.pak.DATA,478949
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,es.pak.DATA,480528
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,et.pak.DATA,434504
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,eu.pak.DATA,452668
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,fa.pak.DATA,684481
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,fi.pak.DATA,457559
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks\Locales,fil.pak.DATA,492048
